# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon May 13 15:25:57 AEST 2019 [seed=1557725155661]
# -overwrite GSS_strict_random_het_rel1_sim_4.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
100000	-37886.03435684087	-570.0857752449791	-37315.94858159589	34.27820374071459	-29.278203740714588	638.7217482376412	293.5240416357633	0.14516739501130416	0.8897754792390836	0.00201421856073105	0.00201421856073105	-37315.94858159589	0.0	-565.0952525861012
105000	-37885.1574242996	-576.2857960727356	-37308.871628226865	37.50044750210165	-32.50044750210165	676.638700116773	246.26121157850704	0.11492096997859647	0.9125699658460054	0.0018768432409638322	0.0018768432409638337	-37308.871628226865	0.0	-571.8332939021083
110000	-37863.29808228585	-560.776831305492	-37302.52125098036	33.068995293698684	-28.068995293698684	585.3398967712006	242.35337953747884	0.14862967625947698	0.8769993697351252	0.0022386488944299205	0.00223864889442992	-37302.52125098036	0.0	-556.1998011856393
115000	-37870.78301362958	-569.9794960942112	-37300.80351753537	35.54020765961991	-30.54020765961991	640.6987858879684	250.60967403711317	0.1300812836480587	0.8975134938252186	0.0019824145077262678	0.0019824145077262673	-37300.80351753537	0.0	-565.4436249666717
120000	-37879.706822785745	-572.115051477849	-37307.591771307896	35.929428504699665	-30.929428504699665	650.2315870846869	320.962346289359	0.14634174712794978	0.9225953183257439	0.002016933626429818	0.002016933626429817	-37307.591771307896	0.0	-566.7666393067576
125000	-37893.74297416687	-600.7012047383388	-37293.04176942853	49.1928547034668	-44.1928547034668	873.5508670175499	344.57463934890677	0.09431276599821836	0.8638361260644802	0.0014251895038048005	0.0014251895038047992	-37293.04176942853	0.0	-595.673971096317
130000	-37935.314716327106	-624.0905832340126	-37311.22413309309	59.47000622297475	-54.47000622297475	1090.6987821263951	398.6929727468326	0.073765659659355	0.9046814452008216	0.001163350937756692	0.0011633509377566916	-37311.22413309309	0.0	-618.6496366531566
135000	-37927.972298819455	-627.1714064781527	-37300.8008923413	60.31443642435304	-55.31443642435304	1116.3659238706764	392.4564285847399	0.073765659659355	0.8215856520851929	0.0011307054238712138	0.0011307054238712147	-37300.8008923413	0.0	-621.9914628694733
140000	-37944.60348684253	-647.7165087228893	-37296.88697811964	71.48110694220836	-66.48110694220836	1359.191695627304	686.804220300687	0.07152155637268631	0.9040251227559158	9.29840231400237E-4	9.298402314002369E-4	-37296.88697811964	0.0	-639.6251000889952
145000	-37935.2115319625	-627.8657296369115	-37307.34580232559	65.70827955271433	-60.70827955271433	1123.317669474976	518.4736300046501	0.07152155637268631	0.8288538561198903	0.0011304953619541633	0.001130495361954164	-37307.34580232559	0.0	-621.408894103707
150000	-37939.128531126	-637.7796490550027	-37301.348882071	67.92075428281288	-62.92075428281288	1243.6615981071955	534.1948568637156	0.06403306001651599	0.8556994927685875	0.0010064168225238249	0.0010064168225238257	-37301.348882071	0.0	-631.2466784408786
155000	-37949.76580906282	-652.0849975592794	-37297.68081150354	79.0809968023898	-74.0809968023898	1406.4345325761697	732.1567576756455	0.06403306001651599	0.8555677390051507	9.216836986550534E-4	9.21683698655053E-4	-37297.68081150354	0.0	-643.6334993005943
160000	-37936.805582472305	-647.0787412923881	-37289.726841179916	75.96170795520891	-70.96170795520891	1365.1718193823358	628.0847231185905	0.06360483756797497	0.8594732345099321	9.485739075708055E-4	9.485739075708058E-4	-37289.726841179916	0.0	-639.6326344714215
165000	-37948.4989297743	-643.9286390550543	-37304.570290719246	73.95699834181976	-68.95699834181976	1327.4070486793648	589.9312411404641	0.06788964815968579	0.8431481094392209	9.824055997794733E-4	9.824055997794724E-4	-37304.570290719246	0.0	-636.8517980455621
170000	-37937.468402085025	-631.6624862500412	-37305.805915834986	64.3137800431051	-59.3137800431051	1170.114055997033	560.3782192518871	0.07514827191343088	0.8665961566694047	0.0010843752721765862	0.0010843752721765851	-37305.805915834986	0.0	-624.7497894707333
175000	-37896.92090044296	-598.5085516133871	-37298.41234882957	46.95247544599512	-41.95247544599512	850.5896528191947	381.84229557460617	0.09305306616604447	0.7842860433211909	0.0014548322991749997	0.0014548322991749993	-37298.41234882957	0.0	-593.2529003064046
