# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon May 13 15:56:14 AEST 2019 [seed=1557726972298]
# -overwrite GSS_strict_ultra_het_rel0.1_sim_9.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
245000	-22157.82750718017	-369.9281934225753	-21787.899313757593	3.9988424077408453	3.9988424077408453	108.67529338807802	92.49199782213066	1.2009324978012315	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9604586016957591	0.005	0.005000000000000001	-21787.899313757593	0.0	-361.27625355717316
250000	-22147.561980261507	-369.40513387627664	-21778.15684638523	3.976700634273806	3.976700634273806	108.70360387711996	64.19446423743949	1.0640820478314965	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8913140275187251	0.005	0.005000000000000002	-21778.15684638523	0.0	-361.3113089450452
255000	-22154.809982829356	-368.58498584829056	-21786.224996981065	4.044652585702648	4.044652585702648	107.18971670946146	74.84859616927666	1.1892527277156812	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8797473061037796	0.005	0.005000000000000001	-21786.224996981065	0.0	-360.28258236068643
260000	-22165.83837015931	-371.5086661686901	-21794.329703990617	4.177713969259361	4.177713969259361	109.04898210250616	99.90407196579471	1.2789754033522513	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8763181495687943	0.005	0.004999999999999997	-21794.329703990617	0.0	-362.87284356055426
265000	-22164.331035426316	-371.2497299724404	-21793.081305453874	4.244686215796849	4.244686215796849	110.55519708769805	84.99902183626517	1.217620229247926	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.191415752849425	0.005	0.0049999999999999975	-21793.081305453874	0.0	-362.19411783314285
270000	-22166.621404405032	-371.781728619181	-21794.83967578585	4.381320220503068	4.381320220503068	112.09102992546397	63.53381113025018	0.9768326749091023	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9082435255067111	0.005	0.005000000000000002	-21794.83967578585	0.0	-363.7479005959679
275000	-22167.057433946047	-374.2225505731574	-21792.83488337289	4.246879297760913	4.246879297760913	114.09427559674546	68.7055818827725	0.9853853439980047	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.197297426157778	0.005	0.004999999999999996	-21792.83488337289	0.0	-365.550344372028
280000	-22150.82143433638	-375.60667182722966	-21775.21476250915	4.43345870137148	4.43345870137148	115.65348125470874	93.7374405430327	1.1124857178776109	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9629116497162871	0.005	0.005	-21775.21476250915	0.0	-367.02581821850106
285000	-22160.66619029238	-377.07905368435337	-21783.58713660803	4.1743674990296835	4.1743674990296835	113.62794058831443	123.67696296665687	1.3456964777654974	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9172480666151661	0.005	0.0049999999999999975	-21783.58713660803	0.0	-368.05692125770287
290000	-22158.21355555793	-371.3231817784298	-21786.8903737795	4.241745990834334	4.241745990834334	108.92247014296719	107.7585994112849	1.3970381040244912	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8373413590066036	0.005	0.005000000000000001	-21786.8903737795	0.0	-362.56870477629116
